Poster,Title,Year,Certificate,Duration (min),Genre,Rating,Metascore,Director,Cast,Votes,Description,Review Count,Review Title,Review,0,1,2,Decade
"https://m.media-amazon.com/images/M/MV5BMDI1ZTc1MDAtYWY3Mi00OWM5LWFkZTUtMWM1Yjc1ZjFiOWYzXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UY209_CR0,0,140,209_AL_.jpg",Arcadian,2023,R,92,"Action, Horror, Thriller",5.5,60,Benjamin Brewer,"Nicolas Cage, Jaeden Martell, Maxwell Jenkins, Sadie Soverall",6989,A father and his twin teenage sons fight to survive in a remote farmhouse at the end of the end of the world.,61,"There is no mode - ""stabilization""","The story of a father and two teenagers in a post-apocalyptic world inhabited by bloodthirsty creatures. The first thing that cannot be agreed with is that Nicolas Cage has not aged in 15 years, probably the atmosphere of the post-apocalypse has influenced him so much. Secondly, it's a twitching camera, it's like shaking the screen in a movie theater - a nightmare for epileptics. Thirdly, the operator does not know what a mise en scene or composition is at all - there is nothing beautiful in camerawork, there is nothing for the eye to cling to. Fourthly, it is very boring. Watching this is like standing in line for an appointment with a therapist: it's unbearable, and I want it all to end as soon as possible. I couldn't watch it to the end, it's beyond me.",Action, Horror, Thriller,2020
"https://m.media-amazon.com/images/M/MV5BZDI4MjI1YmYtYzg1Ny00MWQzLWIwNTgtNmFkMWNhYTYzYjdkXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UX140_CR0,0,140,209_AL_.jpg",Dream Scenario,2006,R,102,"Comedy, Drama, Fantasy",6.9,74,Kristoffer Borgli,"Lily Bird, Nicolas Cage, Julianne Nicholson, Jessica Clement",58220,An ordinary family man finds his life turned upside down when strangers suddenly start seeing him in their dreams.,229,"Really good, up to the point where it isn't.","The first eighty percent of this film was excellent - it felt like the best Stephen King story that King didn't write. The slow destruction of the life of an ordinary man for reasons which were completely outside his control was well-conceived, well-plotted and well acted. Nicholas Cage's performance was pitch perfect.To an extent, this film can be seen as a satirical condemnation of social media fame and cancel culture, though that's secondary to the theme of mounting paranoia - both from Prof Matthews and the wider world.The fact that this film started out as a project of Ari Aster is no surprise, as it has much in common with Beau is Afraid - notably the hapless and powerless central character and some surreal and blackly comic moments.Then, in the last fifteen minutes or so, the film loses its way. A new element is brought in which pretty much undermines what had gone before. The result wasn't bad, exactly, but seemed to belong in a different film. I think it would've been better if the film had had the courage of its convictions and followed Prof Matthews to his logical fate.For all that, it's an interesting film, and I would urge you to see it.",Comedy, Drama, Fantasy,2000
"https://m.media-amazon.com/images/M/MV5BMjk1MjhmZWQtNzU3OC00NDE4LThlODQtNTdhZGM4M2E3MWZkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY209_CR3,0,140,209_AL_.jpg",Mandy,1997,Not Rated,121,"Action, Fantasy, Horror",6.5,83,Panos Cosmatos,"Nicolas Cage, Andrea Riseborough, Linus Roache, Ned Dennehy",89887,"The enchanted lives of a couple in a secluded forest are brutally shattered by a nightmarish hippie cult and their demon-biker henchmen, propelling a man into a spiraling, surreal rampage of vengeance.",962,Bad,I was really waiting for this movie and thought it would be Cage's return but boy I was wrong. 2 hours of absolutely nothing in red colour. Please save your money and do not believe good reviews. Avoid at all costs.,Action, Fantasy, Horror,1990
"https://m.media-amazon.com/images/M/MV5BNDM2ODNiMWItOWRkNS00ODE3LWE2OGYtNTZkMDJkOWI1ODMxXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_UY209_CR0,0,140,209_AL_.jpg",The Unbearable Weight of Massive Talent,2012,A,107,"Action, Comedy, Crime",7.0,68,Tom Gormican,"Nicolas Cage, Pedro Pascal, Tiffany Haddish, Sharon Horgan",152470,Moviestar Nick Cage is channeling his iconic characters as he's caught between a superfan and a CIA agent.,679,I did not expect that!!!,"It's fair to say I haven't always been the biggest fan of Nicholas Cage, but it's not the talent, it's often the film choices, similar to Michael Cain, he really has made some shockers. What this film does however is poke a little fun at his past, it's tongue in cheek, but it's a cracking movie.It's funny, it's energetic, it zips along, there isn't a single dull moment here, you don't need to be a fan or a critic, this movie is just really worth your time.Loaded with irony, it's plain to see that Cage has a sense of humour, this really is a winner for him.It wasn't what I was expected, but I am so glad I went to see it, I'd really recommend it. 9/10.",Action, Comedy, Crime,2010
"https://m.media-amazon.com/images/M/MV5BMTMzNzEzMDYxM15BMl5BanBnXkFtZTcwMTc0NTMxMw@@._V1_UY209_CR0,0,140,209_AL_.jpg",Kick-Ass,2012,UA,117,"Action, Comedy, Crime",7.6,66,Matthew Vaughn,"Aaron Taylor-Johnson, Nicolas Cage, Chloë Grace Moretz, Garrett M. Brown",594292,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",666,Gget ready for the new classic superhero movie!,"In a movie industry cluttered with own-grown hype, gimmicks and lack of idea, ""Kick Ass"" bursts onto the screen and shatters all expectations in it's wake. You're on this page because you think it's gonna be good? Wrong. Or you're here because you think it looks a decent or a good superhero movie to join the ranks of the ones you already love? DEAD wrong. Reason being, is ""Kick Ass""doesn't want to be good or above average, ""Kick Ass"" wants to be great and it has the balls to want to be original too. Seemingly impossible in a done to death genre where we've already glimpsed Mark Millar's signature style in ""Wanted"", but ""Kick Ass"" is all about the unexpected.Make no mistake, nothing you believe of this movie compares to what Vaughn and co. serve up for you. Mainly because everyone involved seems determined to honour the comic and redefine a genre. Most movies entertain, but this one? It wants to BLOW YOU AWAY! Less smarter movies have done that but ""Kick Ass"" ain't giving that up either. It's script is razor-sharp, dumping the pretension of ""the burden of heroism"" crippling even the better superhero films, showing this in actions rather than long drawn out emoting. Matthew Vaughn has finally solved the hurdle that all superhero movies suffer, namely how to get to know and love your characters without long drawn out scenes. He does it by keeping them moving. The more they do, the more they try, the more you know and love them. And make the narrative interesting and most of all relatable so we're with Dave 100% of the way, it doesn't just have to functional.The real visual joy of ""Kick Ass"" is it's desire to keep it simple but not at the expense of wowing us. Make characters do cool things, instead of Michael Bay-esquire things happening to them. That's why they exude coolness, despite Dave's almost humdrum existence. This is the everyman doing the things we could do if wanted to; not a guy from another reality or possessed with great drive and ambition. Dave wants to get laid. He wants to be hip. Even your bad guy in this is believable. Watching the whirlwind that is Hit Girl perform a routine almost straight out of Jackie Chan's Hong Kong days stuns us in a way no big screen chase ever could. Visually the film takes all the thing we DID love from the movies that ultimately didn't zing and churns them into a finely balanced flawless brew.Did I mention it's feel good? From it's inspired use of music (again utterly relatable) right down to it's outstanding score, like ""Get Carter"" for superheroes; I could say more but there's surprises in store.In a movie this stunning, acting is usually secondary (as any James Cameron film shows). Not a bit of it. In a cast as eclectic as the styles the film embraces you have performances that set a benchmark for all concerned. Can Mark Strong already better his stellar work? See his menacing and humorous turn as D'Amico, a career best. Christopher Mintz Plasse follows ""Role Models"" by breaking out of McLovin mode. His guy has layers and he can show them. Nicolas Cage as expected returns to his past glories playing larger than life eccentric characters but not without a little sadness too. Joining him is Chloe Moretz forever destined to be remembered for her first major role. She idolised Angelina Jolie apparently. Guess what, you trounced any action movie she has ever made! Moretz dominates any scenes she's in, no easy task considering her fellow cast! Aaron Johnson has the most difficult job of all. Being an original uber-geek after Michael Cera set the standard (anyone who's seen ""Zombieland"" knows it's hard to write an original geek even in a great movie). He shakes it, redefines it and OWNS it. He leads the movie like he wrote it, joined by a cast where even the smallest roles are fully fleshed out. It's quite an ensemble. A renegade band of acting styles forming a perfect one and complementing the film's fun style.Watching ""Kick Ass"" is ultimately like being on a thrill-ride, it doesn't just want to dazzle you, it's wants to draw you in, ride the wave and leave the cinema on a high. And it doesn't do that with gimmicks or tried and tested formula's, it breaks the mold, shakes conventions and wants you to be surprised while complementing all the movies you already love. It's not just a movie, it's a standard, one that promises to prove movies like this can be written with great heart and brain.And ultimately you'll be leaving the screen thinking ""Wow, let's do that again"" no matter how many agains come before it.",Action, Comedy, Crime,2010
"https://m.media-amazon.com/images/M/MV5BYzFjNzIxMmEtMzY5NS00YTgzLTkwYWEtN2FjMmY0NmNkZWY3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX140_CR0,0,140,209_AL_.jpg",Face/Off,2017,A,138,"Action, Crime, Sci-Fi",7.3,82,John Woo,"John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola",401521,"To foil a terrorist plot, FBI agent Sean Archer assumes the identity of the criminal Castor Troy who murdered his son through facial transplant surgery, but the crook wakes up prematurely and vows revenge.",583,"Greatest action movie ever made, period.","This is simply the best action movie I have ever seen.  Very few movies come close, but don't overtake, this masterpiece.  John Woo has unleashed an action movie that all should see at least once.  And all action fans should own.  The action scenes are fast and furious, the script is great, and the story is pretty good, and John Travolta and Nicholas Cage give excellent performances.  See this movie now if you haven't already, or if you just haven't seen it  recently you will not be disappointed.  This movie would get 10 out of 10 from me.",Action, Crime, Sci-Fi,2010
"https://m.media-amazon.com/images/M/MV5BZDJjOTE0N2EtMmRlZS00NzU0LWE0ZWQtM2Q3MWMxNjcwZjBhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UY209_CR0,0,140,209_AL_.jpg",The Rock,2017,A,136,"Action, Adventure, Thriller",7.4,58,Michael Bay,"Sean Connery, Nicolas Cage, Ed Harris, John Spencer",358651,"A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco.",483,Definitely underrated!,"""The Rock"" combined action, adventure, comedy, romance, special effects and a great plot into one of the biggest worldwide blockbuster action films in decades. Add to the mix, Sean Connery, Nicolas Cage, Ed Harris and a great supporting cast including John Spencer, William Forsythe and David Morse, and ""The Rock"" is one of the best ways to spend two hours. This film also devotes a great deal of time and effort to character development, something that most action movies neglect. This film is definitely underrated and is worth more praise than it has received.",Action, Adventure, Thriller,2010
"https://m.media-amazon.com/images/M/MV5BNDIwYjVjMDMtOGYxMy00ZTRiLWE0YzktMjIwYmNhOGE4NGQ4XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_UX140_CR0,0,140,209_AL_.jpg",Renfield,2016,A,93,"Action, Comedy, Fantasy",6.4,53,Chris McKay,"Nicholas Hoult, Nicolas Cage, Awkwafina, Ben Schwartz",96281,"Renfield, Dracula's tortured henchman, is forced to capture prey for his master and do his every bidding. But now, after centuries of servitude, Renfield is ready to see if there is a life outside his boss's shadow.",453,A bloody good time,"This film had every good thing going for it to be a surprisingly entertaining and fun popcorn flick. The comedy was spot on, the gore effects were nice and extreme, and all the casting and performances were excellent, especially Cage, who was perfect for the role. I wasn't sure about casting Awkwafina, but her chemistry and character were a great compliment to Nicholas Hoult's character. But the best part of this film, was the nice twist on the over-done Dracula/vampire genre. It was a refreshing and unique twist on a story we've seen done so many times before. My only complaint is that I wanted to see more of Cage in this film. Not sure if it's doable, but this could be a fun new film franchise if they can come up with more films using the same characters - and hopefully see more of Cage at his best.",Action, Comedy, Fantasy,2010
"https://m.media-amazon.com/images/M/MV5BMGZmNGIxMTYtMmVjMy00YzhkLWIyOTktNTExZGFiYjNiNzdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY209_CR0,0,140,209_AL_.jpg",Con Air,2023,R,115,"Action, Crime, Thriller",6.9,52,Simon West,"Nicolas Cage, John Cusack, John Malkovich, Colm Meaney",319722,Newly-paroled ex-con and former U.S. Ranger Cameron Poe finds himself trapped in a prisoner-transport plane when the passengers seize control.,404,Now that's what I'm talking about!,"As much cliché there is on this typical action flick, this was a terrific and fun one to watch! Come on! I mean a 6.3?! People, this was a great movie that kept you on the edge of your seat with some of the greatest actors of our time: Nic Cage, John Malkovich, and John Cusack. The movie though went to Steve Buscemi! He is just becoming one of my favorite actors, but I'll explain later. Con Air is about these prisoners who have taken over an air plane meant to transfer some prisoners to other states and some are actually free. There is one person, Cameron Poe, who wants to stop this maniac, Cyrus 'The Virus' Grissom played by John M. from destroying these men's lives.John Cusack plays Vince Larkin, a Marshall who believes that Poe is on his side and wants to get this plane down as safely as he can, he does a terrific job, even though his looks aren't what I would've pictured for the part. John M. did a great job on scarring the heck out of me and was a terrific psychotic villain and Nic is so great as an action hero while he ""saves the *beep* day"", he also has this southern accent that is kind of funny but charming. Now, onto Steve who plays Garland 'The Marietta Mangler' Greene, this incredibly intelligent but insane serial killer who gives you a Hannibal the Cannibal vibe. His dialog is incredible and grabs you ""What if I told you insane was working fifty hours a week in some office for fifty years at the end of which they tell you to *beep* off; ending up in some retirement village hoping to die before suffering the indignity of trying to make it to the toilet on time? Wouldn't you consider that to be insane?"" He's funny in a way that wasn't meant to be funny and he just steals the show. Especially how he was singing ""He's got the whole world in his hands"" at the end when the plane was going crazy. :D These are remarkable actors, and yes, while the story is predictable and the stunts are over the top, nevertheless, I think anyone can enjoy this film an just have fun. It's a great action flick that deserves a look and a better rating! Come on, let go and have fun. Grab the popcorn, because you're going on a ride! 9/10",Action, Crime, Thriller,2020
"https://m.media-amazon.com/images/M/MV5BMzIyNDE5ODI1OV5BMl5BanBnXkFtZTcwNTIyNDE0MQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",Ghost Rider,2023,UA,110,"Action, Fantasy, Thriller",5.3,35,Mark Steven Johnson,"Nicolas Cage, Eva Mendes, Sam Elliott, Matt Long",252579,"When motorcycle rider Johnny Blaze sells his soul to the Devil to save his father's life, he is transformed into the Ghost Rider, the Devil's own bounty hunter, and is sent to hunt down sinners.",602,Better Than Critics Think,"Okay, this movie has taken a lot of heat (ohhhh) but in fact, it's good at what it is. You can't criticize a Snickers Bar for not being Creme Brulee. This is not High Art. It's a movie based on a comic book, and it does a great job of bringing that comic book to life, and of keeping the comic book nature of the story intact. This isn't a bad thing-- it is what it is. It's not a chick flick, it's not clever and witty, it's not deep and mysterious. It's a comic book brought to life on the big screen with nice fx and a decent score and appropriate acting. It's fun. It's a hoot. The bad guys are bad, the good guys are good-- and the end isn't a cop out which is nice. If you are not the audience for which this movie is intended, you will not like this film. If you are, you won't be disappointed. Is it as strong a movie as Spiderman? No. But the story isn't as strong either. It is, however, a good yarn, something my kids liked-- something I liked, and I'm not even a comic book guy.",Action, Fantasy, Thriller,2020
